Prod_id,Product_Category,Product_Sub_Category,Manu_Id
Prod_1,"OFFICE SUPPLIES","STORAGE & ORGANIZATION",NULL
Prod_10,FURNITURE,BOOKCASES,NULL
Prod_11,FURNITURE,TABLES,NULL
Prod_12,"OFFICE SUPPLIES",LABELS,NULL
Prod_13,"OFFICE SUPPLIES","PENS & ART SUPPLIES",NULL
Prod_14,TECHNOLOGY,"COPIERS AND FAX",2
Prod_15,FURNITURE,"CHAIRS & CHAIRMATS",NULL
Prod_16,"OFFICE SUPPLIES","SCISSORS, RULERS AND TRIMMERS",NULL
Prod_17,TECHNOLOGY,"OFFICE MACHINES",2
Prod_2,"OFFICE SUPPLIES",APPLIANCES,NULL
Prod_3,"OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES",NULL
Prod_4,TECHNOLOGY,"TELEPHONES AND COMMUNICATION",2
Prod_5,FURNITURE,"OFFICE FURNISHINGS",NULL
Prod_6,"OFFICE SUPPLIES",PAPER,NULL
Prod_7,"OFFICE SUPPLIES","RUBBER BANDS",NULL
Prod_8,TECHNOLOGY,"COMPUTER PERIPHERALS",2
Prod_9,"OFFICE SUPPLIES",ENVELOPES,NULL
